PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
GRACE PLAYGROUND,BROOKLYN     ,2.74,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
GREEN CENTRAL KNOLL,BROOKLYN     ,2.74,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DETECTIVE WILLIAM T. GUNN PARK,BROOKLYN     ,2.72,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOLY COW PLAYGROUND,BROOKLYN     ,2.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYSIDE FIELDS,BROOKLYN     ,2.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HICKMAN PLAYGROUND,BROOKLYN     ,2.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ARBUTUS WOODS PARK,BROOKLYN     ,2.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STARS & STRIPES PLAYGROUND,BROOKLYN     ,2.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
P.O. SERRANO PLAYGROUND,BROOKLYN     ,2.62,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
COLEMAN PLAYGROUND,BROOKLYN     ,2.61,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARGARET I. CARMAN GREEN - WEEPING BEECH,BROOKLYN     ,2.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KATHY REILLY TRIANGLE,BROOKLYN     ,2.59,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIVERDALE PLAYGROUND,BROOKLYN     ,2.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARIE CURIE PARK,BROOKLYN     ,2.55,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EDENWALD PLAYGROUND,BROOKLYN     ,2.54,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.53,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MURRAY PLAYGROUND,BROOKLYN     ,2.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATHGATE PLAYGROUND,BROOKLYN     ,2.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BIG BUSH PARK,BROOKLYN     ,2.5,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
JOSEPH RODMAN DRAKE PARK,BROOKLYN     ,2.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
INDEPENCE PARK SYLVAN GROVE CEMETERY,BROOKLYN     ,2.48,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY PARK,BROOKLYN     ,2.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FREDERICK JOHNSON PLAYGROUND,BROOKLYN     ,2.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DAMROSCH PARK,BROOKLYN     ,2.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASSER LEVY PLAYGROUND,BROOKLYN     ,2.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARRY MAZE PLAYGROUND,BROOKLYN     ,2.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOST BATTALION HALL RECREATION CENTER,BROOKLYN     ,2.41,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUTCH KILLS PLAYGROUND,BROOKLYN     ,2.4,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
KOSCIUSZKO POOL,BROOKLYN     ,2.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WEST PLAYGROUND,BROOKLYN     ,2.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOMECREST PLAYGROUND,BROOKLYN     ,2.37,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DE MATTI PLAYGROUND,BROOKLYN     ,2.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POE PARK,BROOKLYN     ,2.33,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
OVERLOOK PARK,BROOKLYN     ,2.33,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BARUCH PLAYGROUND,BROOKLYN     ,2.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAILROAD PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OSBORN PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRIBORO PLAZA,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POWER PLAYGROUND,BROOKLYN     ,2.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,BROOKLYN     ,2.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CENTURY PLAYGROUND,BROOKLYN     ,2.28,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.26,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH SHORE ESPLANADE,BROOKLYN     ,2.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VLEIGH PLAYGROUND,BROOKLYN     ,2.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAREDO AVENUE PARCEL,BROOKLYN     ,2.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FREDERICK B. JUDGE PLAYGROUND,BROOKLYN     ,2.22,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
BELMONT PLAYGROUND BRONX,BROOKLYN     ,2.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAHONEY PLAYGROUND,BROOKLYN     ,2.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASTORIA HEIGHTS PLAYGROUND,BROOKLYN     ,2.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOYT PLAYGROUND,BROOKLYN     ,2.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ANCHORAGE PLAZA,BROOKLYN     ,2.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LORETO PLAYGROUND,BROOKLYN     ,2.18,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARDING PARK,BROOKLYN     ,2.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WASHINGTON MARKET PARK,BROOKLYN     ,2.15,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
VIDALIA PARK,BROOKLYN     ,2.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON E 122ND STREET,BROOKLYN     ,2.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIDGE PARK BROOKLYN,BROOKLYN     ,2.12,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAMILTON METZ FIELD,BROOKLYN     ,2.11,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
CARDOZO PLAYGROUND,BROOKLYN     ,2.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CENTREVILLE PLAYGROUND,BROOKLYN     ,2.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REDFERN PLAYGROUND,BROOKLYN     ,2.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.09,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
STORY PLAYGROUND,BROOKLYN     ,2.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SAKURA PARK,BROOKLYN     ,2.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LINNAEUS PARK,BROOKLYN     ,2.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLEWOOD PLAYGROUND,BROOKLYN     ,2.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SKYLINE PLAYGROUND,BROOKLYN     ,2.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLOVE'S TAIL,BROOKLYN     ,2.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DANIEL M. O'CONNELL PLAYGROUND,BROOKLYN     ,2.04,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
CHALLENGE PLAYGROUND,BROOKLYN     ,2.04,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TORSNEY PLAYGROUND,BROOKLYN     ,2.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOCUST MANOR PLAYGROUND,BROOKLYN     ,2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND ONE THIRTY FOUR CXXXIV,BROOKLYN     ,2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FULTON PARK,BROOKLYN     ,1.99,ONE ACRE OR LARGER,0,0,2,0,0,1,0,3
ANDREW HASWELL GREEN PARK,BROOKLYN     ,1.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOORE HOMESTEAD PLAYGROUND,BROOKLYN     ,1.98,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MCLAUGHLIN PARK,BROOKLYN     ,1.98,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.97,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
SUMNER PLAYGROUND,BROOKLYN     ,1.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROSEMARY'S PLAYGROUND,BROOKLYN     ,1.97,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SAUL WEPRIN PLAYGROUND,BROOKLYN     ,1.96,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FREDERICK DOUGLASS PLAYGROUND,BROOKLYN     ,1.95,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON HEMPSTEAD AVENUE,BROOKLYN     ,1.94,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIDGE PARK 3,BROOKLYN     ,1.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THE PAINTER'S PLAYGROUND,BROOKLYN     ,1.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.93,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TERRACE PLAYGROUND,BROOKLYN     ,1.92,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRAVERS PARK,BROOKLYN     ,1.92,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
BUFANO PARK,BROOKLYN     ,1.9,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DIMATTINA PLAYGROUND,BROOKLYN     ,1.9,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.89,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GORMAN PARK,BROOKLYN     ,1.89,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
WILLIS PLAYGROUND,BROOKLYN     ,1.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WEST BRONX RECREATION CENTER,BROOKLYN     ,1.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THOMAS PAINE PARK,BROOKLYN     ,1.88,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARROLL PARK,BROOKLYN     ,1.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLGATE CLOSE,BROOKLYN     ,1.87,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LONDON PLANETREE PLAYGROUND,BROOKLYN     ,1.84,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUTTER BALLFIELDS,BROOKLYN     ,1.84,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TAAFFE PLAYGROUND,BROOKLYN     ,1.82,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
THOMAS BOYLAND PARK,BROOKLYN     ,1.82,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
GIVAN SQUARE,BROOKLYN     ,1.82,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAROLD ICKES PLAYGROUND,BROOKLYN     ,1.82,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REV J POLITE PLAYGROUND,BROOKLYN     ,1.82,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAPES BALLFIELD,BROOKLYN     ,1.81,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND MALLS,BROOKLYN     ,1.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CEDAR PLAYGROUND,BROOKLYN     ,1.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BENNETT PARK,BROOKLYN     ,1.8,ONE ACRE OR LARGER,0,1,0,1,0,0,0,2
CONCH PLAYGROUND,BROOKLYN     ,1.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAYMOND BUSH PLAYGROUND,BROOKLYN     ,1.8,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND 52 LII,BROOKLYN     ,1.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DR. GREEN PLAYGROUND,BROOKLYN     ,1.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRUST PARK,BROOKLYN     ,1.79,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAURELTON PLAYGROUND,BROOKLYN     ,1.79,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
SIMEONE PARK,BROOKLYN     ,1.78,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MANOR PARK,BROOKLYN     ,1.78,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TAPPEN PARK,BROOKLYN     ,1.78,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LUNA PARK,BROOKLYN     ,1.76,ONE ACRE OR LARGER,0,0,1,1,0,0,0,2
ALFRED E. SMITH PLAYGROUND,BROOKLYN     ,1.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ELECTRIC PLAYGROUND,BROOKLYN     ,1.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
YELLOWSTONE PARK,BROOKLYN     ,1.75,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CORONA GOLF PLAYGROUND,BROOKLYN     ,1.72,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILSON PLAYGROUND,BROOKLYN     ,1.72,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTHERN PLAYGROUND,BROOKLYN     ,1.72,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
BARTEL-PRITCHARD SQUARE,BROOKLYN     ,1.71,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DOUGHBOY PLAZA,BROOKLYN     ,1.71,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
CASTLE HILL LITTLE LEAGUE FIELD,BROOKLYN/QUEENS,1.71,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAPPY WARRIOR PLAYGROUND,BROOKLYN/QUEENS,1.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRAND FERRY PARK,BROOKLYN/QUEENS,1.7,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEN MALL ONE,BROOKLYN/QUEENS,1.7,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
PLAYGROUND ONE TWENTY FIVE CXXV,BROOKLYN/QUEENS,1.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STAR SPANGLED PLAYGROUND,MANHATTAN    ,1.69,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PATTERSON PLAYGROUND,MANHATTAN    ,1.68,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOUNT EDEN MALLS,MANHATTAN    ,1.68,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND PLAYGROUND,MANHATTAN    ,1.68,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ADAM CLAYTON POWELL JR. MALLS,MANHATTAN    ,1.68,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JAMES J WALKER PARK,MANHATTAN    ,1.67,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
BANNEKER PLAYGROUND,MANHATTAN    ,1.67,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
WHITESTONE PLAYGROUND,MANHATTAN    ,1.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THURSBY BASIN PARK,MANHATTAN    ,1.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EQUITY PARK,MANHATTAN    ,1.66,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELL MALLS,MANHATTAN    ,1.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LEIF ERICSON FIELDS,MANHATTAN    ,1.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NEHEMIAH PARK,MANHATTAN    ,1.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARBLE HILL PLAYGROUND,MANHATTAN    ,1.65,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WAGNER HOUSES POOL,MANHATTAN    ,1.64,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARLEM LANE PLAYGROUND,MANHATTAN    ,1.64,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROWLEY PLAYGROUND,MANHATTAN    ,1.63,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BURNS PLAYGROUND,MANHATTAN    ,1.62,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
100% PLAYGROUND,MANHATTAN    ,1.62,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARK BROOKLYN,MANHATTAN    ,1.61,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
IDA COURT,MANHATTAN    ,1.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JENNIFER'S PLAYGROUND,MANHATTAN    ,1.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REAL GOOD PARK,MANHATTAN    ,1.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLERTON PLAYGROUND,MANHATTAN    ,1.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OCEAN HILL PLAYGROUND,MANHATTAN    ,1.6,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELLEVUE SOUTH PARK,MANHATTAN    ,1.59,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAZZEI PLAYGROUND,MANHATTAN    ,1.59,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DAG HAMMARSKJOLD PLAZA,MANHATTAN    ,1.59,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KOLBERT PLAYGROUND,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POOR RICHARD'S PLAYGROUND,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OLMSTED-BEIL HOUSE PARK,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TAYLOR PLAYGROUND,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOAN OF ARC PARK,MANHATTAN    ,1.58,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARMONY PARK,MANHATTAN    ,1.56,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIARWOOD PLAYGROUND,MANHATTAN    ,1.56,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLINTONVILLE PLAYGROUND,MANHATTAN    ,1.55,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLATBUSH MALLS,MANHATTAN    ,1.55,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WASHINGTON PARK BROOKLYN,MANHATTAN    ,1.55,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN HANCOCK PLAYGROUND,MANHATTAN    ,1.55,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANK D. O'CONNOR PLAYGROUND,MANHATTAN    ,1.54,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
OLD TOWN PLAYGROUND,MANHATTAN    ,1.53,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HUGUENOT PONDS PARK,MANHATTAN    ,1.53,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REIFF PLAYGROUND,MANHATTAN    ,1.53,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
RUSSELL SAGE PLAYGROUND,MANHATTAN    ,1.53,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
ROGER MORRIS PARK,MANHATTAN    ,1.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROAD CHANNEL PARK,MANHATTAN    ,1.52,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN ALLEN PAYNE PARK,MANHATTAN    ,1.51,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPUYTEN DUYVIL PLAYGROUND,MANHATTAN    ,1.51,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BULOVA PARK,MANHATTAN    ,1.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DRY DOCK PLAYGROUND,MANHATTAN    ,1.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAPLE GROVE PARK,MANHATTAN    ,1.5,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GOLCONDA PLAYGROUND,MANHATTAN    ,1.5,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
DECATUR PLAYGROUND,MANHATTAN    ,1.5,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
UNNAMED PARK ON RIVERSIDE DRIVE,MANHATTAN    ,1.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARX BROTHERS PLAYGROUND,MANHATTAN    ,1.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BREVOORT PLAYGROUND,MANHATTAN    ,1.49,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND SIXTY TWO LXII,MANHATTAN    ,1.48,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TALL OAK PLAYGROUND,MANHATTAN    ,1.48,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRONTERA PARK,MANHATTAN    ,1.47,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLDEN PLAYGROUND,MANHATTAN    ,1.47,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LUTHER GULICK PLAYGROUND,MANHATTAN    ,1.45,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PULASKI PARK,MANHATTAN    ,1.45,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.44,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
DUNBAR PLAYGROUND,MANHATTAN    ,1.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND TWENTY ONE,MANHATTAN    ,1.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOODS PLAYGROUND,MANHATTAN    ,1.44,ONE ACRE OR LARGER,0,0,0,2,0,0,0,2
PROSPECT PLAYGROUND,MANHATTAN    ,1.44,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALMEDA PLAYGROUND,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GAETA PARK,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GLENWOOD PLAYGROUND,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHELTERING ARMS PLAYGROUND,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
