PARK,BOROUGH,SIZE (ACRES),CATEGORY,MURDER,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
MALL FORTY TWO XLII,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORELLI-HARGREAVES PLAYGROUND,MANHATTAN    ,1.43,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PULASKI PLAYGROUND,MANHATTAN    ,1.42,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BILDERSEE PLAYGROUND,MANHATTAN    ,1.42,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MACDONALD PARK,MANHATTAN    ,1.42,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OWEN F. DOLEN PARK,MANHATTAN    ,1.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VAN DYKE PLAYGROUND,MANHATTAN    ,1.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLIAMSBRIDGE SQUARE,MANHATTAN    ,1.4,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PEOPLE'S PARK,MANHATTAN    ,1.39,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
DOME PLAYGROUND,MANHATTAN    ,1.39,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUSSELL PEDERSEN PLAYGROUND,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ST. CATHERINE'S PARK,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOWARD VON DOHLEN PLAYGROUND,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NAUTILUS PLAYGROUND BROOKLYN,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAVEN AVENUE,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ARCILLA PLAYGROUND,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FOUNTAIN OF YOUTH PLAYGROUND,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LIEUTENANT JOHN H. MARTINSON PLAYGROUND,MANHATTAN    ,1.38,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARTINEZ PLAYGROUND,MANHATTAN    ,1.37,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HILLSIDE PARK BROOKLYN,MANHATTAN    ,1.37,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND ONE FORTY,MANHATTAN    ,1.37,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LT. LIA PLAYGROUND,MANHATTAN    ,1.37,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CRACK IS WACK PLAYGROUND,MANHATTAN    ,1.37,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
CASTLE HILL PLAYGROUND,MANHATTAN    ,1.37,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ADAM YAUCH PARK,MANHATTAN    ,1.36,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOPE BALLFIELD,MANHATTAN    ,1.36,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DR. RONALD MCNAIR PARK,MANHATTAN    ,1.36,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ADMIRAL FARRAGUT PLAYGROUND,MANHATTAN    ,1.36,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MCDONALD PLAYGROUND STATEN ISLAND,MANHATTAN    ,1.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON VANDALIA AVENUE,MANHATTAN    ,1.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESH MEADOWS PLAYGROUND,MANHATTAN    ,1.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND EIGHTY LXXX,MANHATTAN    ,1.35,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRINTER'S PARK,MANHATTAN    ,1.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RENAISSANCE PLAYGROUND,MANHATTAN    ,1.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLASSON PLAYGROUND AT CLASSON AVENUE & LAFAYETTE AVENUE,MANHATTAN    ,1.34,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REMSEN PLAYGROUND,MANHATTAN    ,1.33,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARC AND JASON'S PLAYGROUND,MANHATTAN    ,1.33,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VETERANS PARK STATEN ISLAND,MANHATTAN    ,1.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LYONS SQUARE PLAYGROUND,MANHATTAN    ,1.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARION HOPKINSON PLAYGROUND,MANHATTAN    ,1.32,ONE ACRE OR LARGER,0,0,2,0,0,0,0,2
AGNES HAYWOOD PLAYGROUND,MANHATTAN    ,1.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
AMPERE PLAYGROUND,MANHATTAN    ,1.32,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POTOMAC PLAYGROUND,MANHATTAN    ,1.32,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2
DETECTIVE JOSEPH MAYROSE PARK,MANHATTAN    ,1.31,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PAUL RAIMONDA PLAYGROUND,MANHATTAN    ,1.31,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRALL PLAYGROUND,MANHATTAN    ,1.31,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HORACE HARDING PLAYGROUND,MANHATTAN    ,1.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DEAN PLAYGROUND,MANHATTAN    ,1.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEVEN GABLES PLAYGROUND,MANHATTAN    ,1.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRIBOROUGH BRIDGE PLAYGROUND B,MANHATTAN    ,1.3,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LITTLE FLOWER PLAYGROUND,MANHATTAN    ,1.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DONGAN PLAYGROUND,MANHATTAN    ,1.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUSHWICK PLAYGROUND ON FLUSHING AVENUE,MANHATTAN    ,1.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST RIVER PLAYGROUND,MANHATTAN    ,1.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SAMUEL H. YOUNG PARK,MANHATTAN    ,1.29,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOWNE PLAYGROUND,MANHATTAN    ,1.28,ONE ACRE OR LARGER,0,1,1,0,0,0,0,2
SPACE TIME PLAYGROUND,MANHATTAN    ,1.28,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUDD PLAYGROUND,MANHATTAN    ,1.28,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLOW LAKE PLAYGROUND,MANHATTAN    ,1.28,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MURPHY'S BROTHER'S PLAYGROUND,MANHATTAN    ,1.28,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COONEY GRAUER FIELD,MANHATTAN    ,1.27,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WAGNER PLAYGROUND,MANHATTAN    ,1.27,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EMERALD PLAYGROUND,MANHATTAN    ,1.27,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PELHAM BAY LITTLE LEAGUE,MANHATTAN    ,1.26,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHARLIE'S PLACE,MANHATTAN    ,1.26,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
GREENE PLAYGROUND,MANHATTAN    ,1.26,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TANAHEY PLAYGROUND,MANHATTAN    ,1.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALBERT J. PARHAM PLAYGROUND,MANHATTAN    ,1.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PARKSIDE PLAYGROUND BROOKLYN,MANHATTAN    ,1.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARLTON PARK AT CARLTON BOULEVARD & CROWN AVENUE,MANHATTAN    ,1.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND NINETY,MANHATTAN    ,1.25,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NEPTUNE PLAYGROUND,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ANNUNCIATION PARK,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HECKSCHER PLAYGROUND,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0,0,0,2,0,0,0,2
GRASSMERE PLAYGROUND,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
QUEENSBORO OVAL,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GONZALO PLASENCIA PLAYGROUND,MANHATTAN    ,1.24,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROEBLING PLAYGROUND,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PATRICK O'ROURKE PARK,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRESH MEADOWS PARK,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIENZI PLAYGROUND,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOWARD BENNETT PLAYGROUND,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
STANLEY ISAACS PLAYGROUND,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHAPPETTO SQUARE,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIGHTON PLAYGROUND,MANHATTAN    ,1.23,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NELSON PLAYGROUND,MANHATTAN    ,1.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHEEPSHEAD BAY PIERS,MANHATTAN    ,1.22,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ELEANOR ROOSEVELT PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYSIDE PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYVIEW PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MURRAY HILL PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANCIS LEWIS PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAGENTA PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TIFFANY PLAYGROUND,MANHATTAN    ,1.21,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAURICE A FITZGERALD PLAYGROUND,MANHATTAN    ,1.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HILTON HOLIDAY GARDENS,MANHATTAN    ,1.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DANIEL BOONE PLAYGROUND,MANHATTAN    ,1.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KOREAN WAR VETERANS PLAZA,MANHATTAN    ,1.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HATTIE CARTHAN PLAYGROUND,MANHATTAN    ,1.2,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STROUD PLAYGROUND,MANHATTAN    ,1.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TILDEN PLAYGROUND,MANHATTAN    ,1.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTH OXFORD PARK,MANHATTAN    ,1.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNDERWOOD PARK,MANHATTAN    ,1.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAFAYETTE PLAYGROUND ON STILLWELL AVENUE,MANHATTAN    ,1.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GROVE HILL PLAYGROUND,MANHATTAN    ,1.19,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LA GUARDIA PLAYGROUND,MANHATTAN    ,1.18,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON DRUMGOOLE ROAD & VERNON AVENUE,MANHATTAN    ,1.18,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELMONT PLAYGROUND BROOKLYN,MANHATTAN    ,1.18,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STEUBEN PLAYGROUND,MANHATTAN    ,1.17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THE CYCLONE,MANHATTAN    ,1.17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLIAM SHERIDAN PLAYGROUND,MANHATTAN    ,1.17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OAKLAND GARDENS,MANHATTAN    ,1.17,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNIVERSITY PLACE,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EHRENREICH-AUSTIN PLAYGROUND,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SITTING AREA AT HOYT AVENUE,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HILLSIDE PARK QUEENS,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARDING PARK BEAUTIFICATION PROJECT,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CUYLER GORE PARK,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATH PLAYGROUND,MANHATTAN    ,1.16,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POLICE OFFICER NICHOLAS DEMUTIIS PARK,MANHATTAN    ,1.15,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
"""UNCLE"" VITO E. MARANZANO GLENDALE PLAYGROUND",MANHATTAN    ,1.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAPPAPORT PLAYGROUND,MANHATTAN    ,1.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EAST SPRINGFIELD PLAYGROUND,MANHATTAN    ,1.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILLETS POINT PLAYGROUND,MANHATTAN    ,1.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TOAD HALL PLAYGROUND,MANHATTAN    ,1.15,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEASIDE PLAYGROUND,MANHATTAN    ,1.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CORPORAL JOHN A. SERAVALLI PLAYGROUND,QUEENS       ,1.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POPPENHUSEN PLAYGROUND,QUEENS       ,1.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON ROCKAWAY BOARDWALK & B 28TH ST,QUEENS       ,1.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOBEL COURT PARK,QUEENS       ,1.14,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FIDLER-WYCKOFF HOUSE PARK,QUEENS       ,1.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WESTBOURNE PLAYGROUND,QUEENS       ,1.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
D'EMIC PLAYGROUND,QUEENS       ,1.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON SOUNDVIEW AVENUE,QUEENS       ,1.13,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PRESCOTT PLAYGROUND,QUEENS       ,1.12,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOPEZ PLAYGROUND,QUEENS       ,1.12,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HUGH J. GRANT CIRCLE,QUEENS       ,1.11,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PENA HERRERA PARK,QUEENS       ,1.11,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
P.S. 29 BALL FIELD,QUEENS       ,1.11,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MENTONE PLAYGROUND,QUEENS       ,1.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDDLETON PLAYGROUND,QUEENS       ,1.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DE HOSTOS PLAYGROUND,QUEENS       ,1.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SARATOGA BALLFIELDS,QUEENS       ,1.1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROBERT MOSES PLAYGROUND,QUEENS       ,1.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STOCKTON PLAYGROUND,QUEENS       ,1.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOUIS ARMSTRONG PLAYGROUND,QUEENS       ,1.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACOB'S LADDER PLAYGROUND,QUEENS       ,1.09,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON HAMILTON AVENUE,QUEENS       ,1.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LATIMER PLAYGROUND,QUEENS       ,1.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON MELROSE AVENUE,QUEENS       ,1.08,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARLBORO PLAYGROUND,QUEENS       ,1.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH ROCHDALE PLAYGROUND,QUEENS       ,1.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JEROME PLAYGROUND,QUEENS       ,1.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREAT KILLS PARK AT HILLCREST AVENUE,QUEENS       ,1.07,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FERMI PLAYGROUND,QUEENS       ,1.06,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
ERICSSON PLAYGROUND,QUEENS       ,1.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NELLIE BLY PARK,QUEENS       ,1.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MELLETT PLAYGROUND,QUEENS       ,1.06,ONE ACRE OR LARGER,0,0,2,1,0,0,0,3
TELEPHONE PLAYGROUND,QUEENS       ,1.06,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SEDGWICK PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRUCKNER PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MILLBROOK PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND 103 CIII,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROCKET PARK,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BEACH CHANNEL PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
L/CPL THOMAS P. NOONAN JR. PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOZADA PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JAMES WELDON JOHNSON PLAYGROUND,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPRINGFIELD PARK NORTH,QUEENS       ,1.05,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
NICHOLAS NAQUAN HEYWARD JR. PARK,QUEENS       ,1.04,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FISH PLAYGROUND,QUEENS       ,1.04,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLANEVIEW PARK,QUEENS       ,1.04,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GILBERT RAMIREZ PARK,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VAN ALST PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OXPORT PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOODTREE PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAMMEL PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EASTCHESTER PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUNRISE PLAYGROUND,QUEENS       ,1.03,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POWELL PLAYGROUND,QUEENS       ,1.02,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KALTENMEIER PLAYGROUND,QUEENS       ,1.02,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MATTHEWS MULINER PLAYGROUND,QUEENS       ,1.02,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOWLING GREEN,QUEENS       ,1.02,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ANNADALE PLAYGROUND,QUEENS       ,1.01,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CURTIS PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MELROSE PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOWARD PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
PINK PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND 174,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
BLAKE HOBBS PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLIMPTON PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASERTA PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HACKETT PARK,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHESTER PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MONSIGNOR KETT PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RANDALL PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACKIE ROBINSON PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARTIN LUTHER KING PLAYGROUND,QUEENS       ,1,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUPPERT PARK,QUEENS       ,1,PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
BELLEROSE PLAYGROUND,QUEENS       ,1,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
ARVERNE PLAYGROUND,QUEENS       ,0.99,BASKETBALL & PLAYGROUND LESS THAN ONE ACRE,0,0,0,0,0,0,0,0
